ticker,title,sic_code,sic_description
MCD,MCDONALDS CORP,5812,Retail-Eating  Places
SHEL,SHELL PLC,1311,Crude Petroleum & Natural Gas
RY,ROYAL BANK OF CANADA,6029,"Commercial Banks, NEC"
T,AT&T INC.,4813,Telephone Communications (No Radiotelephone)
DIS,WALT DISNEY CO,7990,Services-Miscellaneous Amusement & Recreation
MRK,MERCK & CO. INC.,2834,Pharmaceutical Preparations
NOW,SERVICENOW INC.,7372,Services-Prepackaged Software
UBER,UBER TECHNOLOGIES INC,7389,"Services-Business Services, NEC"
INTU,INTUIT INC.,7372,Services-Prepackaged Software
SHOP,SHOPIFY INC.,7372,Services-Prepackaged Software
PEP,PEPSICO INC,2080,Beverages
C,CITIGROUP INC,6021,National Commercial Banks
PDD,PDD HOLDINGS INC.,7389,"Services-Business Services, NEC"
TMO,THERMO FISHER SCIENTIFIC INC.,3829,"Measuring & Controlling Devices, NEC"
VZ,VERIZON COMMUNICATIONS INC,4813,Telephone Communications (No Radiotelephone)
MU,MICRON TECHNOLOGY INC,3674,Semiconductors & Related Devices
BLK,BLACKROCK INC.,6211,"Security Brokers, Dealers & Flotation Companies"
MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,6029,"Commercial Banks, NEC"
TXN,TEXAS INSTRUMENTS INC,3674,Semiconductors & Related Devices
ANET,ARISTA NETWORKS INC.,3576,Computer Communications Equipment
QCOM,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment
BKNG,BOOKING HOLDINGS INC.,4700,Transportation Services
SCHW,SCHWAB CHARLES CORP,6211,"Security Brokers, Dealers & Flotation Companies"
HDB,HDFC BANK LTD,6029,"Commercial Banks, NEC"
DTEGY,DEUTSCHE TELEKOM AG,4812,Radiotelephone Communications
LRCX,LAM RESEARCH CORP,3559,"Special Industry Machinery, NEC"
SPGI,S&P GLOBAL INC.,7320,"Services-Consumer Credit Reporting, Collection Agencies"
BA,BOEING CO,3721,Aircraft
GEV,GE VERNOVA INC.,3600,Electronic & Other Electrical Equipment (No Computer Equip)
AMAT,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices
SONY,SONY GROUP CORP,3651,Household Audio & Video Equipment
INTC,INTEL CORP,3674,Semiconductors & Related Devices
ISRG,INTUITIVE SURGICAL INC,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
NEE,NEXTERA ENERGY INC,4911,Electric Services
UL,UNILEVER PLC,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics"
TJX,TJX COMPANIES INC /DE/,5651,Retail-Family Clothing Stores
ACN,ACCENTURE PLC,7389,"Services-Business Services, NEC"
SAN,BANCO SANTANDER S.A.,6029,"Commercial Banks, NEC"
ADBE,ADOBE INC.,7372,Services-Prepackaged Software
SYK,STRYKER CORP,3841,Surgical & Medical Instruments & Apparatus
ARM,ARM HOLDINGS PLC /UK,3674,Semiconductors & Related Devices
APH,AMPHENOL CORP /DE/,3678,Electronic Connectors
AMGN,AMGEN INC,2836,"Biological Products, (No Diagnostic Substances)"
BHP,BHP GROUP LTD,1000,Metal Mining
BSX,BOSTON SCIENTIFIC CORP,3841,Surgical & Medical Instruments & Apparatus
PGR,PROGRESSIVE CORP/OH/,6331,"Fire, Marine & Casualty Insurance"
COF,CAPITAL ONE FINANCIAL CORP,6021,National Commercial Banks
ETN,EATON CORP PLC,3590,Misc Industrial & Commercial Machinery & Equipment
LOW,LOWES COMPANIES INC,5211,Retail-Lumber & Other Building Materials Dealers
SPOT,SPOTIFY TECHNOLOGY S.A.,4832,Radio Broadcasting Stations
KLAC,KLA CORP,3827,Optical Instruments & Lenses
GILD,GILEAD SCIENCES INC.,2836,"Biological Products, (No Diagnostic Substances)"
TTE,TOTALENERGIES SE,1311,Crude Petroleum & Natural Gas
PANW,PALO ALTO NETWORKS INC,3577,"Computer Peripheral Equipment, NEC"
PFE,PFIZER INC,2834,Pharmaceutical Preparations
DHR,DANAHER CORP /DE/,3823,"Industrial Instruments For Measurement, Display, and Control"
HON,HONEYWELL INTERNATIONAL INC,3724,Aircraft Engines & Engine Parts
UNP,UNION PACIFIC CORP,4011,"Railroads, Line-Haul Operating"
UTX,ULTRATREX INC.,3531,Construction Machinery & Equip
TD,TORONTO DOMINION BANK,6029,"Commercial Banks, NEC"
MELI,MERCADOLIBRE INC,7389,"Services-Business Services, NEC"
RTNTF,RIO TINTO LTD,1000,Metal Mining
DE,DEERE & CO,3523,Farm Machinery & Equipment
UBS,UBS GROUP AG,6021,National Commercial Banks
KKR,KKR & CO. INC.,6282,Investment Advice
CRWD,CROWDSTRIKE HOLDINGS INC.,7372,Services-Prepackaged Software
HOOD,ROBINHOOD MARKETS INC.,6211,"Security Brokers, Dealers & Flotation Companies"
MDT,MEDTRONIC PLC,3845,Electromedical & Electrotherapeutic Apparatus
SNY,SANOFI,2834,Pharmaceutical Preparations
HTHIY,HITACHI LTD,1600,Heavy Construction Other Than Bldg Const - Contractors
ADI,ANALOG DEVICES INC,3674,Semiconductors & Related Devices
COP,CONOCOPHILLIPS,2911,Petroleum Refining
BUD,ANHEUSER-BUSCH INBEV SA/NV,2082,Malt Beverages
ADP,AUTOMATIC DATA PROCESSING INC,7374,Services-Computer Processing & Data Preparation
IBKR,INTERACTIVE BROKERS GROUP INC.,6211,"Security Brokers, Dealers & Flotation Companies"
DASH,DOORDASH INC.,7389,"Services-Business Services, NEC"
CMCSA,COMCAST CORP,4841,Cable & Other Pay Television Services
BTI,BRITISH AMERICAN TOBACCO P.L.C.,2111,Cigarettes
LMT,LOCKHEED MARTIN CORP,3760,Guided Missiles & Space Vehicles & Parts
WELL,WELLTOWER INC.,6798,Real Estate Investment Trusts
CB,CHUBB LTD,6331,"Fire, Marine & Casualty Insurance"
MO,ALTRIA GROUP INC.,2111,Cigarettes
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,6029,"Commercial Banks, NEC"
SNPS,SYNOPSYS INC,7372,Services-Prepackaged Software
RIO,RIO TINTO PLC,1000,Metal Mining
SMFG,SUMITOMO MITSUI FINANCIAL GROUP INC.,6029,"Commercial Banks, NEC"
ENB,ENBRIDGE INC,4610,Pipe Lines (No Natural Gas)
IBN,ICICI BANK LTD,6029,"Commercial Banks, NEC"
SE,SEA LTD,7380,Services-Miscellaneous Business Services
PLD,PROLOGIS INC.,6798,Real Estate Investment Trusts
CEG,CONSTELLATION ENERGY CORP,4911,Electric Services
BN,BROOKFIELD CORP /ON/,6512,Opeators of  Nonresidential Buildings
VRTX,VERTEX PHARMACEUTICALS INC / MA,2834,Pharmaceutical Preparations
NKE,NIKE INC.,3021,Rubber & Plastics Footwear
SO,SOUTHERN CO,4911,Electric Services
HCA,HCA HEALTHCARE INC.,8062,"Services-General Medical & Surgical Hospitals, NEC"
MMC,MARSH & MCLENNAN COMPANIES INC.,6411,"Insurance Agents, Brokers & Service"
SCCO,SOUTHERN COPPER CORP/,1000,Metal Mining
RBLX,ROBLOX CORP,7372,Services-Prepackaged Software
CME,CME GROUP INC.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
SBUX,STARBUCKS CORP,5810,Retail-Eating & Drinking Places
ICE,INTERCONTINENTAL EXCHANGE INC.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
NTES,NETEASE INC.,7372,Services-Prepackaged Software
CVS,CVS HEALTH CORP,5912,Retail-Drug Stores and Proprietary Stores
DUK,DUKE ENERGY CORP,4931,Electric & Other Services Combined
PH,PARKER-HANNIFIN CORP,3490,Miscellaneous Fabricated Metal Products
CDNS,CADENCE DESIGN SYSTEMS INC,7372,Services-Prepackaged Software
MCK,MCKESSON CORP,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries"
BAM,BROOKFIELD ASSET MANAGEMENT LTD.,6282,Investment Advice
BMO,BANK OF MONTREAL /CAN/,6029,"Commercial Banks, NEC"
NEM,NEWMONT CORP /DE/,1040,Gold and Silver Ores
MSTR,STRATEGY INC,6199,Finance Services
GLD,SPDR GOLD TRUST,6221,Commodity Contracts Brokers & Dealers
ORLY,O REILLY AUTOMOTIVE INC,5531,Retail-Auto & Home Supply Stores
TT,TRANE TECHNOLOGIES PLC,3822,Auto Controls For Regulating Residential & Comml Environments
AMT,AMERICAN TOWER CORP /MA/,6798,Real Estate Investment Trusts
WM,WASTE MANAGEMENT INC,4953,Refuse Systems
BMY,BRISTOL MYERS SQUIBB CO,2834,Pharmaceutical Preparations
DELL,DELL TECHNOLOGIES INC.,3571,Electronic Computers
BP,BP PLC,2911,Petroleum Refining
GD,GENERAL DYNAMICS CORP,3730,Ship & Boat Building & Repairing
RCL,ROYAL CARIBBEAN CRUISES LTD,4400,Water Transportation
RELX,RELX PLC,7389,"Services-Business Services, NEC"
MCO,MOODYS CORP /DE/,7320,"Services-Consumer Credit Reporting, Collection Agencies"
COIN,COINBASE GLOBAL INC.,6199,Finance Services
RACE,FERRARI N.V.,3711,Motor Vehicles & Passenger Car Bodies
SHW,SHERWIN WILLIAMS CO,5200,"Retail-Building Materials, Hardware, Garden Supply"
NOC,NORTHROP GRUMMAN CORP /DE/,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
MFG,MIZUHO FINANCIAL GROUP INC,6021,National Commercial Banks
AEM,AGNICO EAGLE MINES LTD,1040,Gold and Silver Ores
GSK,GSK PLC,2834,Pharmaceutical Preparations
CTAS,CINTAS CORP,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
MMM,3M CO,3841,Surgical & Medical Instruments & Apparatus
MDLZ,MONDELEZ INTERNATIONAL INC.,2000,Food and Kindred Products
BAESY,BAE SYSTEMS PLC /FI/,,
PBR,PETROBRAS - PETROLEO BRASILEIRO SA,1311,Crude Petroleum & Natural Gas
MGCLY,MIDEA GROUP CO. LTD./ADR,,
BNS,BANK OF NOVA SCOTIA,6022,State Commercial Banks
TRI,THOMSON REUTERS CORP /CAN/,2741,Miscellaneous Publishing
PNC,PNC FINANCIAL SERVICES GROUP INC.,6021,National Commercial Banks
APO,APOLLO GLOBAL MANAGEMENT INC.,6282,Investment Advice
AJG,ARTHUR J. GALLAGHER & CO.,6411,"Insurance Agents, Brokers & Service"
SNOW,SNOWFLAKE INC.,7372,Services-Prepackaged Software
ECL,ECOLAB INC.,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics"
BK,BANK OF NEW YORK MELLON CORP,6022,State Commercial Banks
HWM,HOWMET AEROSPACE INC.,3350,Rolling Drawing & Extruding of  Nonferrous Metals
NU,NU HOLDINGS LTD.,6199,Finance Services
CRH,CRH PUBLIC LTD CO,3241,"Cement, Hydraulic"
EQIX,EQUINIX INC,6798,Real Estate Investment Trusts
CI,CIGNA GROUP,6324,Hospital & Medical Service Plans
AON,AON PLC,6411,"Insurance Agents, Brokers & Service"
ING,ING GROEP NV,6029,"Commercial Banks, NEC"
ITW,ILLINOIS TOOL WORKS INC,3560,General Industrial Machinery & Equipment
NET,CLOUDFLARE INC.,7372,Services-Prepackaged Software
MSI,MOTOROLA SOLUTIONS INC.,3663,Radio & Tv Broadcasting & Communications Equipment
ATEYY,ADVANTEST CORP,3674,Semiconductors & Related Devices
USB,US BANCORP \DE\,6021,National Commercial Banks
ABNB,AIRBNB INC.,7340,Services-To Dwellings & Other Buildings
ITUB,ITAU UNIBANCO HOLDING S.A.,6022,State Commercial Banks
CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,6029,"Commercial Banks, NEC"
TDG,TRANSDIGM GROUP INC,3728,"Aircraft Parts & Auxiliary Equipment, NEC"
EMR,EMERSON ELECTRIC CO,3600,Electronic & Other Electrical Equipment (No Computer Equip)
MAR,MARRIOTT INTERNATIONAL INC /MD/,7011,Hotels & Motels
BCS,BARCLAYS PLC,6029,"Commercial Banks, NEC"
UPS,UNITED PARCEL SERVICE INC,4210,Trucking & Courier Services (No Air)
ELV,ELEVANCE HEALTH INC.,6324,Hospital & Medical Service Plans
RSG,REPUBLIC SERVICES INC.,4953,Refuse Systems
NGG,NATIONAL GRID PLC,4922,Natural Gas Transmission
AZO,AUTOZONE INC,5531,Retail-Auto & Home Supply Stores
MRVL,MARVELL TECHNOLOGY INC.,3674,Semiconductors & Related Devices
FI,FISERV INC,7389,"Services-Business Services, NEC"
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip
IAU,ISHARES GOLD TRUST,6221,Commodity Contracts Brokers & Dealers
WMB,WILLIAMS COMPANIES INC.,4922,Natural Gas Transmission
GLW,CORNING INC /NY,3357,Drawing & Insulating of  Nonferrous Wire
ADSK,AUTODESK INC.,7372,Services-Prepackaged Software
DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,6022,State Commercial Banks
ZTS,ZOETIS INC.,2834,Pharmaceutical Preparations
EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,4922,Natural Gas Transmission
INFY,INFOSYS LTD,7371,Services-Computer Programming Services
CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,4011,"Railroads, Line-Haul Operating"
SPG,SIMON PROPERTY GROUP INC /DE/,6798,Real Estate Investment Trusts
CNQ,CANADIAN NATURAL RESOURCES LTD,1311,Crude Petroleum & Natural Gas
NSC,NORFOLK SOUTHERN CORP,4011,"Railroads, Line-Haul Operating"
CSX,CSX CORP,4011,"Railroads, Line-Haul Operating"
PYPL,PAYPAL HOLDINGS INC.,7389,"Services-Business Services, NEC"
LYG,LLOYDS BANKING GROUP PLC,6029,"Commercial Banks, NEC"
MNST,MONSTER BEVERAGE CORP,2086,Bottled & Canned Soft Drinks & Carbonated Waters
CL,COLGATE PALMOLIVE CO,2844,"Perfumes, Cosmetics & Other Toilet Preparations"
FTNT,FORTINET INC.,3577,"Computer Peripheral Equipment, NEC"
AMX,AMERICA MOVIL SAB DE CV/,4813,Telephone Communications (No Radiotelephone)
KMI,KINDER MORGAN INC.,4922,Natural Gas Transmission
VST,VISTRA CORP.,4911,Electric Services
EQNR,EQUINOR ASA,2911,Petroleum Refining
GBTC,GRAYSCALE BITCOIN TRUST ETF,6221,Commodity Contracts Brokers & Dealers
EOG,EOG RESOURCES INC,1311,Crude Petroleum & Natural Gas
HLT,HILTON WORLDWIDE HOLDINGS INC.,7011,Hotels & Motels
URI,UNITED RENTALS INC.,7359,"Services-Equipment Rental & Leasing, NEC"
TRV,TRAVELERS COMPANIES INC.,6331,"Fire, Marine & Casualty Insurance"
BMWKY,BAYERISCHE MOTOREN WERKE AG/ADR,8880,American Depositary Receipts
PWR,QUANTA SERVICES INC.,1731,Electrical Work
WDAY,WORKDAY INC.,7374,Services-Computer Processing & Data Preparation
CRWV,COREWEAVE INC.,7372,Services-Prepackaged Software
TEL,TE CONNECTIVITY PLC,5065,"Wholesale-Electronic Parts & Equipment, NEC"
APD,AIR PRODUCTS & CHEMICALS INC.,2810,Industrial Inorganic Chemicals
CPNG,COUPANG INC.,5961,Retail-Catalog & Mail-Order Houses
COR,CENCORA INC.,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries"
MPC,MARATHON PETROLEUM CORP,2911,Petroleum Refining
TFC,TRUIST FINANCIAL CORP,6021,National Commercial Banks
AFL,AFLAC INC,6321,Accident & Health Insurance
REGN,REGENERON PHARMACEUTICALS INC.,2834,Pharmaceutical Preparations
DLR,DIGITAL REALTY TRUST INC.,6798,Real Estate Investment Trusts
ET,ENERGY TRANSFER LP,4922,Natural Gas Transmission
AEP,AMERICAN ELECTRIC POWER CO INC,4911,Electric Services
ALNY,ALNYLAM PHARMACEUTICALS INC.,2834,Pharmaceutical Preparations
CNI,CANADIAN NATIONAL RAILWAY CO,4011,"Railroads, Line-Haul Operating"
GM,GENERAL MOTORS CO,3711,Motor Vehicles & Passenger Car Bodies
CMI,CUMMINS INC,3510,Engines & Turbines
NXPI,NXP SEMICONDUCTORS N.V.,3674,Semiconductors & Related Devices
B,BARRICK MINING CORP,1040,Gold and Silver Ores
AXON,AXON ENTERPRISE INC.,3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)"
FAST,FASTENAL CO,5200,"Retail-Building Materials, Hardware, Garden Supply"
NWG,NATWEST GROUP PLC,6029,"Commercial Banks, NEC"
FDX,FEDEX CORP,4513,Air Courier Services
ALL,ALLSTATE CORP,6331,"Fire, Marine & Casualty Insurance"
PSX,PHILLIPS 66,2911,Petroleum Refining
LHX,L3HARRIS TECHNOLOGIES INC. /DE/,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
O,REALTY INCOME CORP,6798,Real Estate Investment Trusts
MET,METLIFE INC,6311,Life Insurance
ROP,ROPER TECHNOLOGIES INC,3823,"Industrial Instruments For Measurement, Display, and Control"
SRE,SEMPRA,4932,Gas & Other Services Combined
TRP,TC ENERGY CORP,4922,Natural Gas Transmission
CMG,CHIPOTLE MEXICAN GRILL INC,5812,Retail-Eating  Places
ARES,ARES MANAGEMENT CORP,6282,Investment Advice
FCX,FREEPORT-MCMORAN INC,1000,Metal Mining
DEO,DIAGEO PLC,2080,Beverages
E,ENI SPA,1311,Crude Petroleum & Natural Gas
BDX,BECTON DICKINSON & CO,3841,Surgical & Medical Instruments & Apparatus
MFC,MANULIFE FINANCIAL CORP,6311,Life Insurance
PCAR,PACCAR INC,3711,Motor Vehicles & Passenger Car Bodies
D,DOMINION ENERGY INC,4911,Electric Services
LNG,CHENIERE ENERGY INC.,4924,Natural Gas Distribution
SLB,SCHLUMBERGER LIMITED/NV,1389,"Oil & Gas Field Services, NEC"
MPLX,MPLX LP,4610,Pipe Lines (No Natural Gas)
JD,JD.COM INC.,5990,"Retail-Retail Stores, NEC"
NDAQ,NASDAQ INC.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
DDOG,DATADOG INC.,7372,Services-Prepackaged Software
DHI,HORTON D R INC /DE/,1531,Operative Builders
PSA,PUBLIC STORAGE,6798,Real Estate Investment Trusts
EA,ELECTRONIC ARTS INC.,7372,Services-Prepackaged Software
IDXX,IDEXX LABORATORIES INC /DE,2835,In Vitro & In Vivo Diagnostic Substances
CARR,CARRIER GLOBAL CORP,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip
IFNNY,INFINEON TECHNOLOGIES AG,3674,Semiconductors & Related Devices
SU,SUNCOR ENERGY INC,2911,Petroleum Refining
BKR,BAKER HUGHES CO,3533,Oil & Gas Field Machinery & Equipment
FLUT,FLUTTER ENTERTAINMENT PLC,7370,"Services-Computer Programming, Data Processing, Etc."
ROST,ROSS STORES INC.,5651,Retail-Family Clothing Stores
EONGY,E.ON SE,4900,"Electric, Gas & Sanitary Services"
TAK,TAKEDA PHARMACEUTICAL CO LTD,2834,Pharmaceutical Preparations
F,FORD MOTOR CO,3711,Motor Vehicles & Passenger Car Bodies
VLO,VALERO ENERGY CORP/TX,2911,Petroleum Refining
OXY,OCCIDENTAL PETROLEUM CORP /DE/,1311,Crude Petroleum & Natural Gas
CBRE,CBRE GROUP INC.,6500,Real Estate
GRMN,GARMIN LTD,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
VRT,VERTIV HOLDINGS CO,3679,"Electronic Components, NEC"
AMP,AMERIPRISE FINANCIAL INC,6282,Investment Advice
IMO,IMPERIAL OIL LTD,2911,Petroleum Refining
WCN,WASTE CONNECTIONS INC.,4953,Refuse Systems
BIDU,BAIDU INC.,7370,"Services-Computer Programming, Data Processing, Etc."
TCOM,TRIP.COM GROUP LTD,7389,"Services-Business Services, NEC"
XYZ,BLOCK INC.,7372,Services-Prepackaged Software
PAYX,PAYCHEX INC,8700,"Services-Engineering, Accounting, Research, Management"
OKE,ONEOK INC /NEW/,4923,Natural Gas Transmisison & Distribution
CTVA,CORTEVA INC.,0100,Agricultural Production-Crops
CVNA,CARVANA CO.,5500,Retail-Auto Dealers & Gasoline Stations
WPM,WHEATON PRECIOUS METALS CORP.,1040,Gold and Silver Ores
GWW,W.W. GRAINGER INC.,5000,Wholesale-Durable Goods
TEAM,ATLASSIAN CORP,7372,Services-Prepackaged Software
EW,EDWARDS LIFESCIENCES CORP,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
RDDT,REDDIT INC.,7374,Services-Computer Processing & Data Preparation
EXC,EXELON CORP,4931,Electric & Other Services Combined
VEEV,VEEVA SYSTEMS INC,7372,Services-Prepackaged Software
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,7372,Services-Prepackaged Software
FERG,FERGUSON ENTERPRISES INC. /DE/,5070,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies
KR,KROGER CO,5411,Retail-Grocery Stores
MSCI,MSCI INC.,7389,"Services-Business Services, NEC"
ARGX,ARGENX SE,2836,"Biological Products, (No Diagnostic Substances)"
VALE,VALE S.A.,1000,Metal Mining
AIG,AMERICAN INTERNATIONAL GROUP INC.,6331,"Fire, Marine & Casualty Insurance"
AME,AMETEK INC/,3823,"Industrial Instruments For Measurement, Display, and Control"
CPRT,COPART INC,5500,Retail-Auto Dealers & Gasoline Stations
ZS,ZSCALER INC.,7371,Services-Computer Programming Services
RKT,ROCKET COMPANIES INC.,6162,Mortgage Bankers & Loan Correspondents
XEL,XCEL ENERGY INC,4931,Electric & Other Services Combined
MPWR,MONOLITHIC POWER SYSTEMS INC,3674,Semiconductors & Related Devices
FNV,FRANCO NEVADA CORP,1040,Gold and Silver Ores
TGT,TARGET CORP,5331,Retail-Variety Stores
CCI,CROWN CASTLE INC.,6798,Real Estate Investment Trusts
ETR,ENTERGY CORP /DE/,4911,Electric Services
EBAY,EBAY INC,7389,"Services-Business Services, NEC"
FANG,DIAMONDBACK ENERGY INC.,1311,Crude Petroleum & Natural Gas
BSBR,BANCO SANTANDER (BRASIL) S.A.,6029,"Commercial Banks, NEC"
PEG,PUBLIC SERVICE ENTERPRISE GROUP INC,4931,Electric & Other Services Combined
HMC,HONDA MOTOR CO LTD,3711,Motor Vehicles & Passenger Car Bodies
FER,FERROVIAL SE,1600,Heavy Construction Other Than Bldg Const - Contractors
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC,2086,Bottled & Canned Soft Drinks & Carbonated Waters
KMB,KIMBERLY CLARK CORP,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
PTCAY,PT CHANDRA ASRI PETROCHEMICAL TBK/ADR,8880,American Depositary Receipts
YUM,YUM BRANDS INC,5812,Retail-Eating  Places
GALDY,GALDERMA GROUP AG/ADR,,
CCL,CARNIVAL CORP,4400,Water Transportation
RMD,RESMED INC,3841,Surgical & Medical Instruments & Apparatus
HLN,HALEON PLC,2844,"Perfumes, Cosmetics & Other Toilet Preparations"
ONC,BEONE MEDICINES LTD.,2834,Pharmaceutical Preparations
ROK,ROCKWELL AUTOMATION INC,3829,"Measuring & Controlling Devices, NEC"
VMC,VULCAN MATERIALS CO,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
FRFHF,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN,6331,"Fire, Marine & Casualty Insurance"
HEI,HEICO CORP,3724,Aircraft Engines & Engine Parts
SYY,SYSCO CORP,5140,Wholesale-Groceries & Related Products
TME,TENCENT MUSIC ENTERTAINMENT GROUP,4832,Radio Broadcasting Stations
LYV,LIVE NATION ENTERTAINMENT INC.,7900,Services-Amusement & Recreation Services
LVS,LAS VEGAS SANDS CORP,7011,Hotels & Motels
CHTR,CHARTER COMMUNICATIONS INC. /MO/,4841,Cable & Other Pay Television Services
DAL,DELTA AIR LINES INC.,4512,"Air Transportation, Scheduled"
DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,,
MLM,MARTIN MARIETTA MATERIALS INC,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
HSY,HERSHEY CO,2060,Sugar & Confectionery Products
HIG,HARTFORD INSURANCE GROUP INC.,6331,"Fire, Marine & Casualty Insurance"
GWLIF,GREAT-WEST LIFECO INC.,6311,Life Insurance
GFI,GOLD FIELDS LTD,1040,Gold and Silver Ores
